mots_outils_def
à
ai
aie
aient
aies
ait
as
au
aura
aurai
auraient
aurais
aurait
auras
aurez
auriez
aurions
aurons
auront
aux
avaient
avais
avait
avec
avez
aviez
avions
avons
ayant
ayez
ayons
bien que
c
ce
ceci
cela
celà
ces
cet
cette
d
dans
de
des
donc
du
en
es
est
et
étaient
étais
était
étant
etc
été
étée
étées
êtes
étés
étiez
étions
eu
eue
eues
eûmes
eurent
eus
eusse
eussent
eusses
eussiez
eussions
eut
eût
eûtes
eux
fûmes
furent
fus
fusse
fussent
fusses
fussiez
fussions
fut
fût
fûtes
ici
l
la
le
les
leur
leurs
lui
m
ma
mais
me
même
mes
moi
mon
n
ne
nos
notre
on
ont
ou
par
pas
pour
qu
que
quel
quelle
quelles
quels
qui
quoi
quoi que
quoique
s
sa
sans
se
sera
serai
seraient
serais
serait
seras
serez
seriez
serions
serons
seront
ses
soi
soient
sois
soit
sommes
son
sont
soyez
soyons
suis
sur
t
ta
te
tes
toi
ton
un
une
voire
vos
votre
y
j
je
tu
elle
il
nous
vous
ils
elles

